epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.119,2.29975,3.54258,1.98511,0.13851,0.1376,0.05696,0.0162,2.26544,3.65684,1.98418,0.000470147,0.000470147,0.000470147
2,949.296,2.21468,2.93856,1.88393,0.11849,0.16193,0.0709,0.02354,2.41541,3.7378,2.23465,0.000909,0.000909,0.000909
3,1322.73,2.22456,2.78989,1.88029,0.1243,0.13792,0.08066,0.02615,2.37633,3.65797,2.0428,0.00131013,0.00131013,0.00131013
4,1622.33,2.20341,2.64448,1.89614,0.17491,0.1457,0.09258,0.0347,2.26948,3.3332,2.23317,0.00125923,0.00125923,0.00125923
5,1922.53,2.19311,2.56899,1.89161,0.20314,0.10495,0.07898,0.02515,2.33619,3.68371,2.16824,0.00120265,0.00120265,0.00120265
6,2223.35,2.16945,2.50457,1.85766,0.25255,0.263,0.20776,0.07233,2.25626,2.55225,2.02455,0.00114606,0.00114606,0.00114606
7,2523.37,2.13235,2.42495,1.81822,0.24589,0.275,0.19323,0.0663,2.20755,2.65893,2.06675,0.00108947,0.00108947,0.00108947
8,2822.75,2.12793,2.37737,1.78708,0.27898,0.28417,0.22577,0.0791,2.20872,2.47919,1.93633,0.00103288,0.00103288,0.00103288
9,3121.81,2.07788,2.35644,1.79009,0.32478,0.23336,0.22393,0.08488,2.18744,2.46989,1.97234,0.000976293,0.000976293,0.000976293
10,3421.39,2.06464,2.31935,1.786,0.34707,0.29722,0.26066,0.08929,2.20605,2.33756,1.95735,0.000919704,0.000919704,0.000919704
11,3721.45,2.07233,2.25211,1.76615,0.29189,0.29668,0.24118,0.07683,2.2011,2.57608,1.96876,0.000863116,0.000863116,0.000863116
12,4021.26,2.04713,2.22128,1.74859,0.2827,0.25558,0.21864,0.08001,2.15796,2.50397,1.94981,0.000806528,0.000806528,0.000806528
13,4320.23,2.01874,2.18459,1.75728,0.28526,0.32722,0.22818,0.08033,2.17488,2.43968,1.98448,0.000749939,0.000749939,0.000749939
14,4619.24,2.01598,2.17687,1.73987,0.3362,0.25718,0.25363,0.08686,2.13946,2.35072,1.90238,0.000693351,0.000693351,0.000693351
15,4918.26,2.00179,2.10272,1.69739,0.36166,0.32757,0.28962,0.10542,2.0921,2.27047,1.90073,0.000636762,0.000636762,0.000636762
16,5215.58,1.99015,2.1503,1.77397,0.35493,0.34309,0.30848,0.10916,2.10537,2.23956,1.89964,0.000580174,0.000580174,0.000580174
17,5511.22,1.99183,2.06677,1.7682,0.34808,0.34404,0.3205,0.12512,2.10244,2.21926,1.90049,0.000523586,0.000523586,0.000523586
18,5808.61,1.97721,2.02131,1.74171,0.43938,0.35208,0.33181,0.12491,2.08607,2.22688,1.88968,0.000466997,0.000466997,0.000466997
19,6104.76,1.9445,1.9864,1.72966,0.46195,0.34096,0.3475,0.12786,2.12955,2.14015,1.89164,0.000410409,0.000410409,0.000410409
20,6400.98,1.91865,1.96117,1.70053,0.51587,0.3602,0.37825,0.14094,2.10481,2.09249,1.88039,0.00035382,0.00035382,0.00035382
21,6696.36,1.90427,1.90522,1.71262,0.50082,0.36468,0.36607,0.14147,2.10356,2.07947,1.86822,0.000297232,0.000297232,0.000297232
22,6992.03,1.88613,1.87571,1.67597,0.44157,0.39636,0.37823,0.13953,2.10134,2.08213,1.87973,0.000240644,0.000240644,0.000240644
23,7288.02,1.86101,1.83902,1.66507,0.4116,0.40395,0.36324,0.13696,2.09608,2.05834,1.89001,0.000184055,0.000184055,0.000184055
24,7583.77,1.84955,1.82698,1.65751,0.47227,0.42864,0.37841,0.14614,2.0701,2.01524,1.84946,0.000127467,0.000127467,0.000127467
25,7880.27,1.84019,1.79097,1.65376,0.49255,0.40236,0.3816,0.14732,2.07344,2.01235,1.85645,7.08784e-05,7.08784e-05,7.08784e-05
