epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.407,2.29975,3.54258,1.98511,0.13851,0.1376,0.05696,0.0162,2.26544,3.65684,1.98418,0.000470147,0.000470147,0.000470147
2,603.861,2.22044,2.94509,1.89248,0.13133,0.19672,0.08974,0.03158,2.3933,4.23198,2.25148,0.00093711,0.00093711,0.00093711
3,902.485,2.2287,2.80078,1.89927,0.09933,0.08889,0.06371,0.02002,2.47676,3.38371,2.08053,0.00139464,0.00139464,0.00139464
4,1200.98,2.22449,2.66746,1.88727,0.32782,0.17076,0.1476,0.05576,2.26954,3.50308,2.13342,0.00138656,0.00138656,0.00138656
5,1499.05,2.20291,2.57954,1.89263,0.15087,0.18855,0.07731,0.02519,2.36029,3.05018,2.19194,0.00137241,0.00137241,0.00137241
6,1798.18,2.21382,2.52511,1.88739,0.19848,0.25544,0.11353,0.03337,2.43746,3.29678,2.21148,0.00135826,0.00135826,0.00135826
7,2095.69,2.16661,2.4508,1.84648,0.22844,0.22774,0.12913,0.04,2.32619,3.0269,2.10277,0.00134412,0.00134412,0.00134412
8,2393.88,2.15752,2.4143,1.82698,0.28904,0.22331,0.18733,0.07071,2.21619,2.61803,2.02582,0.00132997,0.00132997,0.00132997
9,2692.6,2.12857,2.37889,1.82574,0.28736,0.30076,0.21631,0.079,2.26987,2.4666,2.08088,0.00131582,0.00131582,0.00131582
10,2991.04,2.12003,2.39145,1.83344,0.32344,0.28576,0.23056,0.08139,2.29722,2.58735,2.08299,0.00130168,0.00130168,0.00130168
11,3287.37,2.11497,2.33677,1.79993,0.26753,0.17232,0.15667,0.05353,2.21369,2.87583,1.99972,0.00128753,0.00128753,0.00128753
12,3585.03,2.08921,2.30628,1.79626,0.27287,0.25489,0.18554,0.06546,2.28962,2.50988,2.01312,0.00127338,0.00127338,0.00127338
13,3882.96,2.07829,2.26406,1.79958,0.29784,0.27076,0.22294,0.07525,2.23638,2.56945,2.08252,0.00125923,0.00125923,0.00125923
14,4180.02,2.08627,2.28645,1.80094,0.34128,0.28012,0.25119,0.08839,2.15251,2.42731,1.98406,0.00124509,0.00124509,0.00124509
15,4476.81,2.06977,2.22099,1.77563,0.33132,0.27268,0.2293,0.08624,2.12313,2.46877,1.96223,0.00123094,0.00123094,0.00123094
16,4773.93,2.037,2.21373,1.77385,0.28814,0.26528,0.16253,0.06128,2.18411,2.62859,2.00901,0.00121679,0.00121679,0.00121679
17,5070.3,2.03931,2.16283,1.73653,0.31906,0.32914,0.27675,0.09936,2.17471,2.32706,1.91662,0.00120265,0.00120265,0.00120265
18,5368.27,2.01818,2.16752,1.71704,0.35724,0.33252,0.29151,0.10209,2.20636,2.32712,1.95826,0.0011885,0.0011885,0.0011885
19,5665.62,2.03923,2.15957,1.74755,0.34454,0.34569,0.26335,0.0888,2.17137,2.42861,1.99237,0.00117435,0.00117435,0.00117435
20,5964.13,2.0163,2.12108,1.7153,0.29233,0.34138,0.30479,0.10877,2.14494,2.29221,1.92837,0.00116021,0.00116021,0.00116021
21,6262.34,2.01127,2.11128,1.72983,0.32713,0.29438,0.26226,0.09927,2.15471,2.37039,1.95572,0.00114606,0.00114606,0.00114606
22,6561.83,1.99469,2.13034,1.73331,0.38804,0.35942,0.2705,0.10014,2.14281,2.29087,1.94485,0.00113191,0.00113191,0.00113191
23,6859.3,1.97856,2.10468,1.70693,0.35534,0.35298,0.29747,0.10293,2.20316,2.25325,1.95155,0.00111776,0.00111776,0.00111776
24,7156.45,2.01172,2.08864,1.73551,0.38731,0.31204,0.30044,0.10398,2.16482,2.31709,1.96199,0.00110362,0.00110362,0.00110362
25,7454.9,1.99219,2.05041,1.69364,0.34977,0.35739,0.28104,0.0947,2.16667,2.28508,1.95223,0.00108947,0.00108947,0.00108947
26,7754.64,1.97037,2.02701,1.68283,0.34413,0.37339,0.32327,0.11999,2.11739,2.32557,1.93191,0.00107532,0.00107532,0.00107532
27,8051.22,1.97486,2.03523,1.70121,0.34449,0.30618,0.27814,0.09983,2.1456,2.31159,1.97441,0.00106118,0.00106118,0.00106118
28,8347.68,1.96345,2.03693,1.69227,0.31954,0.36915,0.24425,0.09194,2.13671,2.28582,1.93703,0.00104703,0.00104703,0.00104703
29,8645.69,1.96371,2.02533,1.70538,0.40543,0.38941,0.34875,0.12196,2.1638,2.2855,1.98216,0.00103288,0.00103288,0.00103288
30,8945.11,1.94549,1.98919,1.68698,0.41915,0.33445,0.33701,0.12565,2.15179,2.23113,1.93501,0.00101873,0.00101873,0.00101873
31,9244.12,1.96251,2.01651,1.68353,0.55259,0.28806,0.33132,0.11413,2.16977,2.2338,1.92106,0.00100459,0.00100459,0.00100459
32,9543.71,1.92706,1.94959,1.66148,0.38081,0.32068,0.31534,0.10943,2.15902,2.21694,1.94982,0.00099044,0.00099044,0.00099044
33,9844.07,1.93278,1.9567,1.669,0.43855,0.35509,0.3503,0.1256,2.1463,2.23495,1.91,0.000976293,0.000976293,0.000976293
34,10143.7,1.92139,1.91149,1.65827,0.418,0.3318,0.33219,0.12159,2.18174,2.18877,1.96334,0.000962146,0.000962146,0.000962146
35,10442.6,1.92156,1.92746,1.65507,0.40408,0.28541,0.27325,0.10377,2.20651,2.33932,2.01971,0.000947999,0.000947999,0.000947999
36,10741.4,1.90454,1.9167,1.65226,0.40509,0.35501,0.3472,0.12571,2.13206,2.28269,1.94403,0.000933851,0.000933851,0.000933851
37,11040.4,1.89837,1.88159,1.64609,0.47081,0.34044,0.34104,0.12446,2.15441,2.19369,1.96278,0.000919704,0.000919704,0.000919704
38,11338.4,1.89424,1.86065,1.62802,0.44645,0.33167,0.31632,0.11027,2.16347,2.15075,1.93439,0.000905557,0.000905557,0.000905557
39,11635.3,1.92206,1.87784,1.63801,0.43872,0.35279,0.34136,0.11785,2.1862,2.14813,1.92561,0.00089141,0.00089141,0.00089141
40,11932.8,1.86977,1.84345,1.61854,0.45071,0.33963,0.36501,0.12624,2.15819,2.15251,1.91612,0.000877263,0.000877263,0.000877263
41,12229.9,1.87963,1.82461,1.64301,0.44994,0.3641,0.34509,0.12368,2.1822,2.10332,1.95344,0.000863116,0.000863116,0.000863116
42,12527.4,1.87009,1.83764,1.61662,0.4577,0.34626,0.34811,0.1292,2.20109,2.09532,1.95326,0.000848969,0.000848969,0.000848969
43,12824.7,1.88437,1.82869,1.62334,0.48644,0.29411,0.31142,0.11726,2.19112,2.30987,1.99543,0.000834822,0.000834822,0.000834822
44,13121.5,1.86272,1.82698,1.61433,0.47214,0.37026,0.36433,0.12923,2.1495,2.21883,1.93477,0.000820675,0.000820675,0.000820675
45,13419.6,1.86795,1.79746,1.60041,0.45233,0.35615,0.32698,0.1159,2.22357,2.22214,1.96179,0.000806528,0.000806528,0.000806528
46,13717.7,1.85995,1.79326,1.60387,0.47783,0.33947,0.36967,0.12885,2.17017,2.11886,1.9531,0.00079238,0.00079238,0.00079238
47,14015.5,1.8369,1.75914,1.59569,0.4265,0.3812,0.35924,0.12621,2.15919,2.11955,1.9374,0.000778233,0.000778233,0.000778233
48,14312.2,1.82858,1.73842,1.57176,0.46663,0.34838,0.37049,0.13192,2.20371,2.07365,1.95765,0.000764086,0.000764086,0.000764086
49,14610.2,1.82051,1.73601,1.57984,0.50697,0.38544,0.37414,0.13566,2.16467,2.08383,1.95296,0.000749939,0.000749939,0.000749939
50,14908.5,1.82751,1.7069,1.57456,0.47567,0.36882,0.38206,0.13946,2.20072,2.06829,1.96339,0.000735792,0.000735792,0.000735792
51,15205.8,1.81554,1.72852,1.57143,0.42908,0.34939,0.3577,0.12994,2.19876,2.08281,1.94272,0.000721645,0.000721645,0.000721645
52,15504.1,1.83055,1.7242,1.58121,0.45368,0.35926,0.36989,0.1267,2.19244,2.07765,1.94566,0.000707498,0.000707498,0.000707498
53,15800.3,1.81822,1.74984,1.59145,0.48676,0.42898,0.39577,0.13868,2.15456,2.08648,1.95911,0.000693351,0.000693351,0.000693351
